     Angle,       PSD
51.5171,437
51.5368,421
51.5564,428
51.5761,445
51.5958,442
51.6155,435
51.6351,425
51.6548,482
51.6745,428
51.6942,432
51.7138,387
51.7335,441
51.7532,450
51.7728,421
51.7925,488
51.8122,431
51.8319,470
51.8515,412
51.8712,404
51.8909,452
51.9106,453
51.9302,418
51.9499,445
51.9696,457
51.9893,443
52.0089,474
52.0286,448
52.0483,434
52.068,421
52.0876,417
52.1073,407
52.127,441
52.1466,437
52.1663,441
52.186,423
52.2057,432
52.2253,418
52.245,431
52.2647,466
52.2844,456
52.304,449
52.3237,433
52.3434,438
52.3631,456
52.3827,424
52.4024,462
52.4221,449
52.4417,450
52.4614,398
52.4811,452
52.5008,440
52.5204,410
52.5401,428
52.5598,440
52.5795,468
52.5991,451
52.6188,424
52.6385,431
52.6582,445
52.6778,456
52.6975,448
52.7172,448
52.7369,443
52.7565,454
52.7762,471
52.7959,420
52.8155,465
52.8352,432
52.8549,465
52.8746,462
52.8942,449
52.9139,481
52.9336,484
52.9533,496
52.9729,494
52.9926,470
53.0123,569
53.032,519
53.0516,549
53.0713,539
53.091,527
53.1107,480
53.1303,558
53.15,512
53.1697,522
53.1893,500
53.209,483
53.2287,484
53.2484,495
53.268,440
53.2877,430
53.3074,475
53.3271,477
53.3467,448
53.3664,430
53.3861,474
53.4058,463
53.4254,446
53.4451,427
53.4648,423
53.4844,422
53.5041,397
53.5238,426
53.5435,440
53.5631,403
53.5828,393
53.6025,397
53.6222,413
53.6418,448
53.6615,429
53.6812,435
53.7009,434
53.7205,435
53.7402,417
53.7599,445
53.7796,394
53.7992,402
53.8189,402
53.8386,401
53.8582,421
53.8779,404
53.8976,411
53.9173,415
53.9369,404
53.9566,402
53.9763,413
53.996,457
54.0156,421
54.0353,479
54.055,413
54.0747,377
54.0943,427
54.114,436
54.1337,439
54.1534,413
54.173,433
54.1927,411
54.2124,429
54.232,450
54.2517,445
54.2714,418
54.2911,419
54.3107,432
54.3304,412
54.3501,399
54.3698,443
54.3894,418
54.4091,421
54.4288,399
54.4485,435
54.4681,433
54.4878,407
54.5075,398
54.5271,417
54.5468,388
54.5665,418
54.5862,418
54.6058,393
54.6255,409
54.6452,402
54.6649,424
54.6845,424
54.7042,452
54.7239,420
54.7436,407
54.7632,409
54.7829,385
54.8026,432
54.8223,418
54.8419,425
54.8616,390
54.8813,405
54.9009,411
54.9206,408
54.9403,436
54.96,402
54.9796,388
54.9993,375
55.019,392
55.0387,441
55.0583,408
55.078,417
55.0977,449
55.1174,417
55.137,394
55.1567,398
55.1764,437
55.1961,422
55.2157,423
55.2354,391
55.2551,406
55.2747,404
55.2944,396
55.3141,413
55.3338,416
55.3534,378
55.3731,416
55.3928,419
55.4125,422
55.4321,437
55.4518,454
55.4715,443
55.4912,413
55.5108,376
55.5305,385
55.5502,438
55.5698,376
55.5895,445
55.6092,404
55.6289,433
55.6485,402
55.6682,405
55.6879,442
55.7076,434
55.7272,394
55.7469,393
55.7666,462
55.7863,441
55.8059,433
55.8256,431
55.8453,447
55.865,408
55.8846,394
55.9043,407
55.924,387
55.9436,425
55.9633,398
55.983,395
56.0027,421
56.0223,409
56.042,383
56.0617,410
56.0814,409
56.101,428
56.1207,397
56.1404,424
56.1601,402
56.1797,440
56.1994,450
56.2191,424
56.2388,436
56.2584,401
56.2781,408
56.2978,435
56.3174,472
56.3371,405
56.3568,436
56.3765,462
56.3961,413
